Sicil;Ad;Bölüm;Hat;Görev;Amir;İşe giriş
8001;Burak Arslan;Kaynak;;Müdür;;2022-02-16
8002;Osman Doğan;Montaj;;Müdür;;2016-02-17
8003;Onur Tekin;Boya;;Müdür;;2020-04-29
8004;Nesrin Demir;Presleme;;Müdür;;2024-03-05
8005;Gökhan Kaya;Kalite;;Müdür;;2009-03-10
8006;Ayşe Çakır;Bakım;;Müdür;;2012-01-13
8007;Yusuf Sarı;Lojistik;;Müdür;;2023-04-27
8008;Meryem Korkmaz;Depo;;Müdür;;2019-12-26
9001;Cem Korkmaz;Kaynak;Hat 1;Amir;8001;2022-07-26
9002;Sultan Çelik;Kaynak;Hat 2;Amir;8001;2020-10-28
9003;Büşra Yıldırım;Kaynak;Hat 3;Amir;8001;2014-07-27
9004;Sevgi Acar;Montaj;Hat 1;Amir;8002;2023-05-30
9005;Serkan Karaca;Montaj;Hat 2;Amir;8002;2017-02-20
9006;Ferhat Balcı;Montaj;Hat 3;Amir;8002;2021-04-18
9007;Havva Erdoğan;Montaj;Hat 4;Amir;8002;2019-09-02
9008;Volkan Yıldırım;Boya;Hat 1;Amir;8003;2023-05-30
9009;Dilek Kara;Boya;Hat 2;Amir;8003;2026-07-14
9010;Emre Başaran;Presleme;Hat 1;Amir;8004;2014-06-20
9011;Emine Doğan;Presleme;Hat 2;Amir;8004;2018-09-25
9012;Ergün Yalçın;Kalite;Hat 1;Amir;8005;2025-04-01
9013;Cem Yıldırım;Kalite;Hat 2;Amir;8005;2023-11-17
9014;Ali Çetin;Bakım;Hat 1;Amir;8006;2025-01-30
9015;Ayşe Öztürk;Bakım;Hat 2;Amir;8006;2023-02-24
9016;Dilek Sezer;Lojistik;Hat 1;Amir;8007;2018-04-20
9017;Ayşe Özdemir;Lojistik;Hat 2;Amir;8007;2020-09-02
9018;Sinan Yalçın;Depo;Hat 1;Amir;8008;2025-12-23
1001;Okan Özkan;Kaynak;Hat 1;Robot Operatörü;9001;2022-07-25
1002;Burak Toprak;Kaynak;Hat 2;Robot Operatörü;9002;2015-09-13
1003;Nurten Tosun;Kaynak;Hat 3;Kaynakçı;9003;2025-12-10
1004;Betül Arslan;Montaj;Hat 1;Takım Lideri;9004;2019-11-18
1005;Kadir Coşkun;Montaj;Hat 2;Montajcı;9005;2023-01-31
1006;Fatma Genç;Montaj;Hat 3;Montajcı;9006;2015-12-06
1007;Nihal Ekinci;Montaj;Hat 4;Takım Lideri;9007;2022-01-28
1008;Zehra Özkan;Boya;Hat 1;Boyacı;9008;2018-01-01
1009;Özlem Tekin;Boya;Hat 2;Boyacı;9009;2022-02-26
1010;Yasemin Yalçın;Presleme;Hat 1;Operatör;9010;2024-05-18
1011;Selim Öztürk;Presleme;Hat 2;Operatör;9011;2021-03-07
1012;Elif Bal;Kalite;Hat 1;Denetçi;9012;2021-06-08
1013;Ergün Büyük;Kalite;Hat 2;Denetçi;9013;2021-05-18
1014;Esra Aktaş;Bakım;Hat 1;Bakımcı;9014;2020-04-04
1015;Murat Duman;Bakım;Hat 2;Elektrikçi;9015;2015-03-20
1016;Yasemin Arslan;Lojistik;Hat 1;Forklift;9016;2024-01-28
1017;Bülent Korkmaz;Lojistik;Hat 2;Forklift;9017;2022-01-29
1018;Ceren Özdemir;Depo;Hat 1;Depocu;9018;2017-05-31
1019;Ömer Genç;Kaynak;Hat 1;Robot Operatörü;9001;2024-06-29
1020;Fatma Başaran;Kaynak;Hat 2;Kaynakçı;9002;2022-04-28
1021;Turgay Yılmaz;Kaynak;Hat 3;Kaynakçı;9003;2021-07-28
1022;Salih Başaran;Montaj;Hat 1;Forklift;9004;2021-11-25
1023;Volkan Sarı;Montaj;Hat 2;Montajcı;9005;2024-12-10
1024;Yusuf Bulut;Montaj;Hat 3;Operatör;9006;2018-12-06
1025;Nihal Kara;Montaj;Hat 4;Montajcı;9007;2021-06-24
1026;Turgay Yalçın;Boya;Hat 1;Kabin Operatörü;9008;2015-09-29
1027;Görkem Turan;Boya;Hat 2;Boyacı;9009;2025-09-05
1028;Havva Çelik;Presleme;Hat 1;Pres Operatörü;9010;2021-07-15
1029;Fatma Korkmaz;Presleme;Hat 2;Pres Operatörü;9011;2026-01-02
1030;Halil Bulut;Kalite;Hat 1;Denetçi;9012;2026-07-30
1031;Esra Coşkun;Kalite;Hat 2;Kalite Kontrol;9013;2019-05-07
1032;Uğur Özkan;Bakım;Hat 1;Mekanikçi;9014;2017-11-06
1033;Hülya Bulut;Bakım;Hat 2;Bakımcı;9015;2021-12-31
1034;Osman Aslan;Lojistik;Hat 1;Sevkiyat;9016;2017-08-11
1035;Nurten Özkan;Lojistik;Hat 2;Operatör;9017;2022-10-14
1036;Tolga Bozkurt;Depo;Hat 1;Forklift;9018;2023-10-19
1037;Levent Yılmaz;Kaynak;Hat 1;Takım Lideri;9001;2016-06-23
1038;Büşra Taş;Kaynak;Hat 2;Kaynakçı;9002;2020-08-18
1039;Selim Aksoy;Kaynak;Hat 3;Takım Lideri;9003;2024-06-12
1040;Fatma Çakır;Montaj;Hat 1;Operatör;9004;2025-08-26
1041;Merve Korkmaz;Montaj;Hat 2;Montajcı;9005;2023-02-26
1042;Ferhat Sezer;Montaj;Hat 3;Montajcı;9006;2025-05-08
1043;Esra Ekinci;Montaj;Hat 4;Takım Lideri;9007;2021-08-12
1044;Okan Avcı;Boya;Hat 1;Boyacı;9008;2023-04-02
1045;Cem Uçar;Boya;Hat 2;Boyacı;9009;2015-12-14
1046;Halil Kurt;Presleme;Hat 1;Kalıpçı;9010;2024-10-31
1047;Seda Kara;Presleme;Hat 2;Kalıpçı;9011;2020-04-22
1048;Sibel Ünal;Kalite;Hat 1;Ölçüm Teknisyeni;9012;2024-02-01
1049;Nazlı Ünal;Kalite;Hat 2;Kalite Kontrol;9013;2015-10-22
1050;Yasemin Şimşek;Bakım;Hat 1;Bakımcı;9014;2016-04-30
1051;Meryem Güler;Bakım;Hat 2;Bakımcı;9015;2017-02-25
1052;Yusuf Erdem;Lojistik;Hat 1;Forklift;9016;2024-07-22
1053;Nazlı Bozkurt;Lojistik;Hat 2;Operatör;9017;2024-05-16
1054;Gamze Öztürk;Depo;Hat 1;Depocu;9018;2023-07-02
1055;Hatice Yıldırım;Kaynak;Hat 1;Robot Operatörü;9001;2022-02-26
1056;Pınar Aksoy;Kaynak;Hat 2;Kaynakçı;9002;2021-10-30
1057;Ömer Coşkun;Kaynak;Hat 3;Takım Lideri;9003;2018-11-27
1058;Şule Çetin;Montaj;Hat 1;Takım Lideri;9004;2021-01-17
1059;Tuğba Kılıç;Montaj;Hat 2;Takım Lideri;9005;2015-03-29
1060;Ceren Uçar;Montaj;Hat 3;Takım Lideri;9006;2017-02-05
1061;Ergün Kurt;Montaj;Hat 4;Takım Lideri;9007;2020-04-29
1062;Burak Bal;Boya;Hat 1;Operatör;9008;2019-05-23
1063;Volkan Öztürk;Boya;Hat 2;Kabin Operatörü;9009;2023-04-04
1064;Erhan Coşkun;Presleme;Hat 1;Operatör;9010;2022-07-07
1065;Levent Şahin;Presleme;Hat 2;Operatör;9011;2021-12-28
1066;Gamze Erdem;Kalite;Hat 1;Kalite Kontrol;9012;2022-01-10
1067;Hatice Küçük;Kalite;Hat 2;Ölçüm Teknisyeni;9013;2020-05-20
1068;Tuğba Avcı;Bakım;Hat 1;Mekanikçi;9014;2026-07-05
1069;Onur Sarı;Bakım;Hat 2;Mekanikçi;9015;2017-10-06
1070;Mehmet Özdemir;Lojistik;Hat 1;Forklift;9016;2023-03-04
1071;Ergün Aslan;Lojistik;Hat 2;Operatör;9017;2026-01-03
1072;Ahmet Aktaş;Depo;Hat 1;Sayım Görevlisi;9018;2022-07-14
1073;Fatma Işık;Kaynak;Hat 1;Kaynakçı;9001;2022-10-30
1074;Rabia Güler;Kaynak;Hat 2;Kaynakçı;9002;2021-02-25
1075;Esra Şener;Kaynak;Hat 3;Kaynakçı;9003;2026-06-29
1076;Nazlı Yıldız;Montaj;Hat 1;Forklift;9004;2023-12-06
1077;Turgay Coşkun;Montaj;Hat 2;Takım Lideri;9005;2020-08-04
1078;Nesrin Çakır;Montaj;Hat 3;Montajcı;9006;2017-08-29
1079;Seda Yıldırım;Montaj;Hat 4;Operatör;9007;2019-08-06
1080;Ali Erdem;Boya;Hat 1;Kabin Operatörü;9008;2018-04-18
1081;Halil Çetin;Boya;Hat 2;Boyacı;9009;2024-03-05
1082;Hatice Ünal;Presleme;Hat 1;Operatör;9010;2016-11-20
1083;Melis Bulut;Presleme;Hat 2;Operatör;9011;2023-01-29
1084;Halil Uçar;Kalite;Hat 1;Denetçi;9012;2019-05-03
1085;Sinan Şener;Kalite;Hat 2;Denetçi;9013;2018-03-03
1086;Rabia Erdem;Bakım;Hat 1;Mekanikçi;9014;2017-07-26
1087;Kadir Bulut;Bakım;Hat 2;Elektrikçi;9015;2025-09-17
1088;Gökhan Küçük;Lojistik;Hat 1;Sevkiyat;9016;2017-10-14
1089;Burak Aktaş;Lojistik;Hat 2;Sevkiyat;9017;2020-09-25
1090;Pınar Acar;Depo;Hat 1;Depocu;9018;2026-05-24
1091;Ferhat Aksoy;Kaynak;Hat 1;Robot Operatörü;9001;2023-02-21
1092;Turgay Aydın;Kaynak;Hat 2;Takım Lideri;9002;2024-07-14
1093;Cem Küçük;Kaynak;Hat 3;Kaynakçı;9003;2025-09-11
1094;Seda Uçar;Montaj;Hat 1;Forklift;9004;2026-01-01
1095;Cihan Güneş;Montaj;Hat 2;Takım Lideri;9005;2016-11-17
1096;Görkem Taş;Montaj;Hat 3;Operatör;9006;2017-11-06
1097;Tuğba Bozkurt;Montaj;Hat 4;Montajcı;9007;2024-02-29
1098;Derya Aydın;Boya;Hat 1;Kabin Operatörü;9008;2021-01-27
1099;Ceren Ekinci;Boya;Hat 2;Operatör;9009;2015-06-22
1100;Ebru Avcı;Presleme;Hat 1;Pres Operatörü;9010;2023-07-13
1101;Elif Acar;Presleme;Hat 2;Kalıpçı;9011;2023-01-23
1102;Sibel Uçar;Kalite;Hat 1;Denetçi;9012;2017-05-13
1103;Nesrin Özkan;Kalite;Hat 2;Denetçi;9013;2022-07-16
1104;Ergün Şimşek;Bakım;Hat 1;Bakımcı;9014;2018-09-06
1105;Uğur Duman;Bakım;Hat 2;Mekanikçi;9015;2017-03-12
1106;Taner Balcı;Lojistik;Hat 1;Sevkiyat;9016;2018-07-29
1107;Tolga Bulut;Lojistik;Hat 2;Sevkiyat;9017;2021-12-16
1108;Zehra Uysal;Depo;Hat 1;Sayım Görevlisi;9018;2020-05-20
1109;Merve Yıldız;Kaynak;Hat 1;Operatör;9001;2021-09-27
1110;Turgay Ateş;Kaynak;Hat 2;Kaynakçı;9002;2026-06-26
1111;Recep Aydın;Kaynak;Hat 3;Operatör;9003;2018-11-05
1112;Osman Kurt;Montaj;Hat 1;Operatör;9004;2020-11-04
1113;Dilek Ünal;Montaj;Hat 2;Operatör;9005;2017-04-26
1114;Ömer Aslan;Montaj;Hat 3;Forklift;9006;2022-07-08
1115;Songül Gündoğdu;Montaj;Hat 4;Operatör;9007;2025-09-02
1116;Ebru Uysal;Boya;Hat 1;Boyacı;9008;2018-06-15
1117;Recep Avcı;Boya;Hat 2;Operatör;9009;2024-11-08
1118;Meryem Işık;Presleme;Hat 1;Pres Operatörü;9010;2020-11-19
1119;Ömer Erdem;Presleme;Hat 2;Pres Operatörü;9011;2022-08-17
1120;Nazlı Acar;Kalite;Hat 1;Denetçi;9012;2021-11-17
1121;Ebru Şimşek;Kalite;Hat 2;Ölçüm Teknisyeni;9013;2021-01-03
